中国成人2型糖尿病胰岛素促泌剂应用的专家共识	O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O
药物过敏1型糖尿病糖尿病酮症酸中毒高糖性高渗透压综合征严重肝或肾损伤和哺乳期患者等	B-Disease;I-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O
2型糖尿病患者若胰岛素促泌剂单药治疗血糖控制不佳应与其他降糖药物如双胍类α-糖苷酶抑制剂或噻唑烷二酮类药物联用	B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;B-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;E-Drug;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O
(1)应选择作用机制互补的降糖药物(5级)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
(2)一般联合2种药物最多可联用3种药物若血糖仍得不到有效控制应及时启动胰岛素治疗(5级)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;E-Test_items;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O;O;O
(3)联合用药应考虑价效因素尽量减轻患者经济负担	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
(4)磺脲类促泌剂与格列奈类促泌剂虽然在分子结构和作用靶位上存在不同但两者合用的临床证据尚不充分一般不推荐两者联用	O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
(1)以餐后血糖(PPG)升高为主者宜选择格列吡嗪格列奈类促泌剂	O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;E-Test_Value;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug
(2)以空腹血糖(FPG)升高为主者宜选择依从性好低血糖发生风险低的中长效磺脲类促泌剂	O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;E-Test_Value;O;O;O;O;O;O;O;O;O;O;B-ADE;I-ADE;E-ADE;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug
(3)餐后血糖和空腹血糖均升高者宜选择依从性好低血糖发生风险低的中长效磺脲类促泌剂	O;O;O;B-Test_items;I-Test_items;I-Test_items;E-Test_items;O;B-Test_items;I-Test_items;I-Test_items;E-Test_items;O;B-Test_Value;E-Test_Value;O;O;O;O;O;O;O;O;B-ADE;I-ADE;E-ADE;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug
三老年糖尿病患者(≥65岁)	O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O
老年患者应根据脏器功能认知功能以级预期寿命选择不同胰岛素促泌剂治疗但总体而言治疗措施应尽量简单易行并充分考虑肝肾功能减退程度(5级)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
若患者脏器功能和认知能力良好预期生存期较长可选择低血糖少等安全性较好的磺脲类促泌剂	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug
四低血糖高危险人群	O;B-Disease;I-Disease;E-Disease;O;O;O;O;O
糖尿病病程长(>15年)有无感知低血糖病史存在肝肾功能不全或全天血糖波动较大并反复出现低血糖症状的患者给予胰岛素促泌剂治疗时应选择格列奈类促泌剂或低血糖风险较低的磺脲类促泌剂(1b级5级)	B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;B-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;B-ADE;I-ADE;E-ADE;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O
一般应小剂量开始使用	O;O;O;O;O;O;O;O;O;O
五其他情况	O;O;O;O;O
对伴有中度肾功能不全患者应首选胰岛素也可选择经肾排泄少的胰岛素促泌剂如瑞格列奈或格列喹酮并根据肾功能水平适当降低胰岛素促泌剂的使用剂量	O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O
对短期接受胰岛素强化治疗后的患者可选择胰岛素促泌剂治疗	O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O
对依从性差的患者尤其是在中国农村地区的患者宜选择低血糖风险低对体重影响小及廉价的1日1次磺脲类促泌剂(4级)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Frequency;I-Frequency;I-Frequency;E-Frequency;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O
总结	O;O
磺脲类药物经长时间应用及大型临床研究证实降糖疗效肯定且降HbA1c作用强安全性高可减少微血管并发症的发生早期使用还可减少大血管并发症和全因死亡的发生	B-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;B-Anatomy;I-Anatomy;E-Anatomy;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Anatomy;I-Anatomy;E-Anatomy;O;O;O;O;O;O;O;O;O;O;O
格列奈类有效降低餐后血糖在中国也广泛使用	B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;O;O;O;O
由于患者的耐受性依从性及经济条件差别较大因此在临床实践中应根据患者特点选用合适的胰岛素促泌剂	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug
1.微血管并发症	O;O;B-Anatomy;I-Anatomy;E-Anatomy;O;O;O
UKPDS证实以氯磺丙脲格列本脲为基础的降糖治疗可减少新诊断2型糖尿病患者的微血管复合终点风险25%(P0.0099)其中视网膜病变风险下降29%(P0.00311b级)	O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;B-Anatomy;I-Anatomy;E-Anatomy;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
9年随防时微量白蛋白尿和大量白蛋白尿发生的相对风险分别下降24%(P0.00062)和33%(P0.0261b级)	O;O;O;O;O;B-Level;E-Level;B-Disease;I-Disease;I-Disease;E-Disease;O;B-Level;E-Level;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
ADVANCE对病程较长合并心血管高危因素的2型糖尿病患者采用以格列齐特缓释片为基础的降糖治疗主要微血管事件减少14%(P0.01)肾脏事件减少21%(P0.0061b级)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Anatomy;I-Anatomy;E-Anatomy;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
优化的降糖治疗不仅只针对胰岛素分泌缺陷还应同时关注其他发病机制(如胰岛素抵抗能量摄取等)	O;O;O;O;O;O;O;O;O;O;O;O;B-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;E-Pathogenesis;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;E-Pathogenesis;B-Pathogenesis;I-Pathogenesis;I-Pathogenesis;E-Pathogenesis;O;O
胰岛素促泌剂与其他作用机制互补的药物联用可多方面干预糖尿病发病环节使患者血糖得到长期有效平稳及安全的控制	B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;B-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;O;O;O;O
糖尿病周围神经病诊断和治疗共识	B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O
糖尿病周围神经病(diabeticperipheralneuropathyDPN)是糖尿病的常见并发症临床表现包括多种类型其中以远端对称性多发性周围神经病(distalsymmetricpolyneuropathyDSPN)和自主神经病最为常见	B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O
早期识别和治疗DPN对于改善患者预后具有重要意义	O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O
一临床症状和体征	O;O;O;O;O;O;O;O
(一)病史	O;O;O;O;O
肢体麻木疼痛等感觉异常为DPN的常见主诉	B-Symptom;I-Symptom;I-Symptom;E-Symptom;B-Symptom;E-Symptom;O;B-Symptom;I-Symptom;I-Symptom;E-Symptom;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O
临床医生应详细追问感觉异常的性质分布范围和发生发展的规律同时明确感觉障碍是否符合周围神经分布以及肢体疼痛是否符合神经痛的特点	O;O;O;O;O;O;O;O;O;B-Symptom;I-Symptom;I-Symptom;E-Symptom;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Symptom;I-Symptom;I-Symptom;E-Symptom;O;O;O;O;B-Anatomy;I-Anatomy;I-Anatomy;E-Anatomy;O;O;O;O;B-Symptom;I-Symptom;I-Symptom;E-Symptom;O;O;O;O;B-Symptom;I-Symptom;E-Symptom;O;O;O
应注意询问是否有排汗异常腹泻便秘性功能障碍等症状从而了解有无自主神经受累	O;O;O;O;O;O;O;O;B-Symptom;I-Symptom;I-Symptom;E-Symptom;B-Symptom;E-Symptom;B-Symptom;E-Symptom;B-Symptom;I-Symptom;I-Symptom;I-Symptom;E-Symptom;O;O;O;O;O;O;O;O;O;B-Anatomy;I-Anatomy;I-Anatomy;E-Anatomy;O;O
糖尿病患者出现肢体肌肉无力和萎缩通常相对较晚	B-Disease;I-Disease;E-Disease;O;O;O;O;B-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;E-Symptom;O;B-Symptom;E-Symptom;O;O;O;O;O;O
(二)体格检查	O;O;O;B-Test;I-Test;I-Test;E-Test
1.感觉检查	O;O;B-Test;I-Test;I-Test;E-Test
应仔细检查患者有无振动觉痛觉触压觉温度觉减退以及痛觉过敏DPN的感觉障碍通常以下肢远端更为明显严重者可有感觉共济失调	O;O;O;O;O;O;O;O;O;B-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;E-Symptom;O;O;B-Symptom;I-Symptom;I-Symptom;E-Symptom;B-Disease;I-Disease;E-Disease;O;B-Symptom;I-Symptom;I-Symptom;E-Symptom;O;O;O;B-Anatomy;I-Anatomy;I-Anatomy;E-Anatomy;B-Level;I-Level;I-Level;E-Level;B-Level;E-Level;O;O;O;B-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;E-Symptom
2.运动检查	O;O;B-Test;I-Test;I-Test;E-Test
3.腱反射检查	O;O;B-Test;I-Test;I-Test;I-Test;E-Test
4.自主神经功能检查	O;O;B-Test;I-Test;I-Test;I-Test;I-Test;I-Test;I-Test;E-Test
注意有无足部皮肤发凉干燥以及变薄溃疡注意患者卧位和立位的血压和心率变化等	O;O;O;O;B-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;E-Symptom;B-Symptom;E-Symptom;O;O;B-Symptom;E-Symptom;B-Symptom;E-Symptom;O;O;O;O;O;O;O;O;O;O;B-Test;E-Test;O;B-Test;E-Test;O;O;O
(三)注意事项	O;O;O;O;O;O;O
1.应重视下肢的感觉障碍和腱反射检查	O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;B-Test;I-Test;I-Test;I-Test;E-Test
2.询问患者有无偏食饮酒史药物或毒物接触史以及家族史等从而有助于对病因进行鉴别	O;O;O;O;O;O;O;O;B-Reason;E-Reason;B-Reason;I-Reason;E-Reason;B-Reason;I-Reason;I-Reason;I-Reason;I-Reason;I-Reason;I-Reason;E-Reason;O;O;B-Reason;I-Reason;E-Reason;O;O;O;O;O;O;O;O;O;O;O;O;O
3.中枢神经系统感觉通路病变功能性疾病或内外科相关疾病也可有感觉异常或某些自主神经症状(如性功能障碍便秘排尿困难等)详细的病史询问和体格检查是鉴别DPN与其他疾病的关键	O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Symptom;I-Symptom;I-Symptom;E-Symptom;O;O;O;B-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;E-Symptom;O;O;B-Symptom;I-Symptom;I-Symptom;I-Symptom;E-Symptom;B-Symptom;E-Symptom;B-Symptom;I-Symptom;I-Symptom;E-Symptom;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O
二辅助检查	O;B-Test;I-Test;I-Test;E-Test
(一)生化检查	O;O;O;B-Test;I-Test;I-Test;E-Test
1.血糖相关检查	O;O;B-Test;I-Test;I-Test;I-Test;I-Test;E-Test
对于周围神经病患者应常规进行空腹血糖葡萄糖负荷后2h血糖和糖化血红蛋白测定明确患者有无糖尿病	O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease
2.根据患者临床表现的差异可选择不同的化验检查进行鉴别如	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test;I-Test;I-Test;E-Test;O;O;O;O;O
(二)神经电生理检查	O;O;O;B-Test;I-Test;I-Test;I-Test;I-Test;I-Test;E-Test
神经电生理检查能够确认周围神经病变并辅助判断其类型以及严重程度	B-Test;I-Test;I-Test;I-Test;I-Test;I-Test;E-Test;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O
对于无症状的糖尿病患者电生理检查有助于发现其亚临床周围神经病变	O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;B-Test;I-Test;I-Test;I-Test;E-Test;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease
当病史和体检已经能够明确周围神经病变及其类型时神经电生理检查并非必需	O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;B-Test;I-Test;I-Test;I-Test;I-Test;I-Test;E-Test;O;O;O;O
1.神经传导测定	O;O;B-Test;I-Test;I-Test;I-Test;I-Test;E-Test
神经传导测定在DPN的诊断中具有重要作用	B-Test;I-Test;I-Test;I-Test;I-Test;E-Test;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O
感觉神经传导测定	B-Test;I-Test;I-Test;I-Test;I-Test;I-Test;I-Test;E-Test
当存在嵌压性周围神经病时跨嵌压部位的感觉神经传导速度可有减慢	O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;B-Test_Value;E-Test_Value
在以自主神经表现为主者感觉传导可以正常	O;O;B-Anatomy;I-Anatomy;I-Anatomy;E-Anatomy;O;O;O;O;O;B-Test;I-Test;I-Test;E-Test;O;O;B-Test_Value;E-Test_Value
2运动神经传导测定	O;B-Test;I-Test;I-Test;I-Test;I-Test;I-Test;I-Test;E-Test
远端运动潜伏期和神经传导速度早期通常正常一般无运动神经部分传导阻滞或异常波形离散后期可出现复合肌肉动作电位波幅降低传导速度轻度减慢	B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;B-Test_Value;E-Test_Value;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;B-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Level;E-Level;B-Test_Value;E-Test_Value
在单神经病或腰骶丛病变时受累神经的复合肌肉动作电位波幅可以明显降低传导速度也可有轻微减慢	O;B-Disease;I-Disease;I-Disease;E-Disease;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;B-Anatomy;E-Anatomy;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;B-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;B-Level;E-Level;B-Test_Value;E-Test_Value
2.针极肌电图检查	O;O;B-Test;I-Test;I-Test;I-Test;I-Test;I-Test;E-Test
针极肌电图检查可见异常自发电位运动单位电位时限增宽波幅增高大力收缩时运动单位募集减少	B-Test;I-Test;I-Test;I-Test;I-Test;I-Test;E-Test;O;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value
针极肌电图能够证实运动神经轴索损害发现亚临床病变并协助不同神经病变分布类型的定位	B-Test;I-Test;I-Test;I-Test;E-Test;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O
在以自主神经或感觉神经受累为主的周围神经病变针电极检测的阳性率较低	O;O;B-Anatomy;I-Anatomy;I-Anatomy;E-Anatomy;O;B-Anatomy;I-Anatomy;I-Anatomy;E-Anatomy;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;B-Test;I-Test;I-Test;I-Test;E-Test;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value
可有潜伏期延长以下肢神经为著	O;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;B-Anatomy;I-Anatomy;I-Anatomy;E-Anatomy;O;O
4.皮肤交感反应测定	O;O;B-Test;I-Test;I-Test;I-Test;I-Test;I-Test;I-Test;E-Test
有助于发现交感神经通路的异常	O;O;O;O;O;B-Anatomy;I-Anatomy;I-Anatomy;E-Anatomy;O;O;O;O;O
表现为潜伏期延长波幅降低或引不出波形	O;O;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value
可以定量评估深感觉和痛温觉的异常常用于DPN的临床研究	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O
对于痛觉纤维的评估有助于小纤维神经病变的判断对糖尿病自主神经病的诊断有辅助作用	O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O
6.其他	O;O;O;O
心率变异度测定可反映副交感神经的功能是诊断小纤维受累为主周围神经病变的主要方法之一	B-Test;I-Test;I-Test;I-Test;I-Test;I-Test;E-Test;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Anatomy;I-Anatomy;E-Anatomy;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O
痛觉诱发电位也可以评估痛觉通路的异常目前主要用于临床研究	B-Test;I-Test;I-Test;I-Test;I-Test;E-Test;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
(三)影像学检查	O;O;O;B-Test;I-Test;I-Test;I-Test;E-Test
对于神经根或丛病变者可选择影像学检查排除脊柱与椎管内病变和盆腔内占位性病变	O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;B-Test;I-Test;I-Test;I-Test;E-Test;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease
(四)神经或皮肤活体组织检查	O;O;O;B-Test;I-Test;I-Test;I-Test;I-Test;I-Test;I-Test;I-Test;I-Test;I-Test;E-Test
皮肤活体组织检查有助于小纤维神经病的诊断在糖尿病自主神经病的诊断中具有一定价值	B-Test;I-Test;I-Test;I-Test;I-Test;I-Test;I-Test;E-Test;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O
神经活体组织检查主要用于鉴别其他疾病并非诊断DPN的常规手段仅在病因诊断困难的情况下根据病情选择	B-Test;I-Test;I-Test;I-Test;I-Test;I-Test;I-Test;E-Test;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
(五)其他自主神经功能的测定	O;O;O;O;O;B-Test;I-Test;I-Test;I-Test;I-Test;I-Test;I-Test;I-Test;E-Test
B超检测膀胱残余尿和尿动力学测定有助于排尿困难的鉴别诊断	B-Test;E-Test;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;B-Test;I-Test;I-Test;I-Test;I-Test;E-Test;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O
